1 o'keeffe evan 40.0 10.0 20 300.0 150.0
2 smith john 360.0 140.0 40 300.0 150.0
6 rourke mickey 400.0 21.90 20 300.0 150.0
5 o'keeffe michael 420.0 20.0 41 300.0 150.0
4 livingston leah 20.0 15.0 41 300.0 150.0
3 michelin frank 40.80 21.00 20 300.0 150.0
7 o'holligan billy 350.50 25.0 65 300.0 150.0
9 maguie sean 40.099998 14.000 41 122976.00 112895.593750
10 stafford rachel 42.099998 14.550000 41 127807.203125 117367.398438
11 gulliver richard 20.00 11.200 41 98380.796875 90130.031250
8 doyle kevin 10.0 60.760 41 300.0 150.0
12 boisnard caroline 35.100 14.500 41 127368.00 116960.868293
