2 smith john 360.000000 140.000000 40 300.000000 150.000000
3 michelin frank 40.800000 21.000000 20 300.000000 150.000000
4 livingston leah 20.000000 15.000000 41 300.000000 150.000000
5 o'keeffe michael 420.000000 20.000000 41 300.000000 150.000000
6 rourke mickey 400.000000 21.900000 20 300.000000 150.000000
7 o'holligan billy 350.500000 25.000000 65 300.000000 150.000000
8 doyle kevin 10.000000 60.760000 41 300.000000 150.000000
9 maguie sean 40.099998 14.000000 41 122976.000000 112895.593750
10 stafford rachel 42.099998 14.550000 41 127807.203125 117367.398438
11 gulliver richard 20.000000 11.200000 41 98380.796875 90130.031250
12 boisnard caroline 35.100000 14.500000 41 127368.000000 116960.868293
